v,omega,x,y,phi,xr,yr,phir,delta
0.0000,0.0000,0.0000,0.0000,0.0997,0.1000,0.0100,0.0997,-0.0000
-0.0000,-0.0000,0.0995,0.0100,0.0997,0.2000,0.0200,0.0996,-0.0000
-0.0000,-0.0000,0.1990,0.0199,0.0997,0.3000,0.0300,0.0996,-0.0001
-0.0001,-0.0001,0.2985,0.0299,0.0997,0.4000,0.0400,0.0996,-0.0001
-0.0001,-0.0001,0.3980,0.0398,0.0997,0.5000,0.0500,0.0995,-0.0001
-0.0002,-0.0002,0.4975,0.0497,0.0997,0.6000,0.0600,0.0995,-0.0002
-0.0003,-0.0002,0.5970,0.0597,0.0997,0.7000,0.0699,0.0994,-0.0003
-0.0005,-0.0003,0.6965,0.0696,0.0997,0.8000,0.0799,0.0994,-0.0003
-0.0007,-0.0005,0.7960,0.0796,0.0997,0.9000,0.0899,0.0993,-0.0004
-0.0008,-0.0006,0.8955,0.0895,0.0996,1.0000,0.0998,0.0992,-0.0005
-0.0010,-0.0008,0.9950,0.0994,0.0996,1.1000,0.1098,0.0991,-0.0006
-0.0013,-0.0009,1.0945,0.1094,0.0996,1.2000,0.1197,0.0990,-0.0007
-0.0015,-0.0011,1.1941,0.1193,0.0996,1.3000,0.1296,0.0988,-0.0008
-0.0018,-0.0013,1.2936,0.1292,0.0996,1.4000,0.1395,0.0987,-0.0010
-0.0021,-0.0015,1.3931,0.1391,0.0995,1.5000,0.1494,0.0986,-0.0011
-0.0024,-0.0017,1.4926,0.1490,0.0995,1.6000,0.1593,0.0984,-0.0012
-0.0027,-0.0020,1.5921,0.1589,0.0995,1.7000,0.1692,0.0982,-0.0014
-0.0031,-0.0022,1.6916,0.1688,0.0994,1.8000,0.1790,0.0981,-0.0015
-0.0034,-0.0025,1.7911,0.1786,0.0994,1.9000,0.1889,0.0979,-0.0017
-0.0038,-0.0028,1.8906,0.1885,0.0993,2.0000,0.1987,0.0977,-0.0019
-0.0042,-0.0031,1.9901,0.1983,0.0993,2.1000,0.2085,0.0975,-0.0020
-0.0046,-0.0034,2.0897,0.2082,0.0992,2.2000,0.2182,0.0973,-0.0022
-0.0050,-0.0037,2.1892,0.2180,0.0992,2.3000,0.2280,0.0971,-0.0024
-0.0055,-0.0040,2.2887,0.2278,0.0991,2.4000,0.2377,0.0968,-0.0026
-0.0059,-0.0043,2.3882,0.2376,0.0990,2.5000,0.2474,0.0966,-0.0028
-0.0064,-0.0047,2.4877,0.2473,0.0989,2.6000,0.2571,0.0963,-0.0030
-0.0069,-0.0050,2.5873,0.2571,0.0988,2.7000,0.2667,0.0961,-0.0032
-0.0073,-0.0054,2.6868,0.2668,0.0987,2.8000,0.2764,0.0958,-0.0034
-0.0078,-0.0057,2.7863,0.2765,0.0986,2.9000,0.2860,0.0955,-0.0036
-0.0084,-0.0061,2.8858,0.2862,0.0985,3.0000,0.2955,0.0952,-0.0038
-0.0089,-0.0065,2.9854,0.2959,0.0984,3.1000,0.3051,0.0949,-0.0040
-0.0094,-0.0069,3.0849,0.3055,0.0983,3.2000,0.3146,0.0946,-0.0042
-0.0099,-0.0073,3.1844,0.3151,0.0981,3.3000,0.3240,0.0943,-0.0044
-0.0105,-0.0077,3.2840,0.3247,0.0980,3.4000,0.3335,0.0940,-0.0046
